t_sec,iter,decode_ts,prefill_ts,pred_n,sclk_mhz,mclk_mhz,edge_c,junction_c,mem_c,power_w,vram_mb,busy
32,325,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
32,326,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
32,327,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
32,328,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
32,329,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
32,330,0.00,0.00,0,1801,1000,57,61,57,27,13882,0
32,331,0.00,0.00,0,1801,1000,57,62,57,27,13882,0
32,332,0.00,0.00,0,1801,1000,57,60,57,32,13882,0
33,333,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
33,334,0.00,0.00,0,1801,1000,57,61,57,27,13882,0
33,335,0.00,0.00,0,1801,1000,57,62,57,27,13882,0
33,336,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
33,337,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
33,338,0.00,0.00,0,1801,1000,57,61,57,27,13882,0
33,339,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
33,340,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
33,341,0.00,0.00,0,1801,1000,57,60,57,28,13882,0
34,342,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
34,343,0.00,0.00,0,1801,1000,56,60,57,27,13882,0
34,344,0.00,0.00,0,1801,1000,57,60,57,28,13882,0
34,345,0.00,0.00,0,1801,1000,56,60,57,27,13882,0
34,346,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
34,347,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
34,348,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
34,349,0.00,0.00,0,1801,1000,56,60,57,27,13882,0
34,350,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
34,351,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
35,352,0.00,0.00,0,1801,1000,57,60,57,28,13882,0
35,353,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
35,354,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
35,355,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
35,356,0.00,0.00,0,1801,1000,56,60,56,28,13882,0
35,357,0.00,0.00,0,1801,1000,57,62,56,28,13882,0
35,358,0.00,0.00,0,1801,1000,57,60,56,28,13882,0
35,359,0.00,0.00,0,1801,1000,57,60,57,27,13882,0
35,360,0.00,0.00,0,1801,1000,56,60,57,27,13882,0
35,361,0.00,0.00,0,1801,1000,56,60,56,30,13882,0
36,362,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
36,363,0.00,0.00,0,1801,1000,56,61,56,27,13882,0
36,364,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
36,365,0.00,0.00,0,1801,1000,56,61,56,27,13882,0
36,366,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
36,367,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
36,368,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
36,369,0.00,0.00,0,1801,1000,57,60,56,29,13882,0
36,370,0.00,0.00,0,1801,1000,56,61,56,27,13882,0
36,371,0.00,0.00,0,1801,1000,56,60,56,27,13882,86
37,372,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
37,373,0.00,0.00,0,1801,1000,57,64,56,72,13882,29
37,374,0.00,0.00,0,1801,1000,57,63,56,41,13882,97
37,375,0.00,0.00,0,1801,1000,57,65,57,27,13882,7
37,376,0.00,0.00,0,1801,1000,57,62,57,27,13882,0
37,377,0.00,0.00,0,1801,1000,57,62,57,27,13882,0
37,378,0.00,0.00,0,1801,1000,57,61,57,70,13882,1
37,379,0.00,0.00,0,1801,1000,57,62,56,27,13882,0
37,380,0.00,0.00,0,1801,1000,57,61,57,31,13882,0
37,381,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
37,382,0.00,0.00,0,1801,1000,56,60,57,27,13882,0
38,383,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
38,384,0.00,0.00,0,1801,1000,57,63,57,27,13882,0
38,385,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
38,386,0.00,0.00,0,1801,1000,57,61,56,28,13882,0
38,387,0.00,0.00,0,1801,1000,57,61,56,27,13882,88
38,388,0.00,0.00,0,1801,1000,57,60,56,45,13882,0
38,389,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
38,390,0.00,0.00,0,1801,1000,56,61,56,27,13882,0
38,391,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
38,392,0.00,0.00,0,1801,1000,57,61,56,27,13882,77
38,393,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
38,394,0.00,0.00,0,1801,1000,57,60,56,27,13882,34
39,395,0.00,0.00,0,1801,1000,56,60,56,78,13882,0
39,396,0.00,0.00,0,1801,1000,56,61,56,27,13882,0
39,397,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
39,398,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
39,399,0.00,0.00,0,1801,1000,56,61,56,27,13882,0
39,400,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
39,401,0.00,0.00,0,1801,1000,57,61,56,27,13882,33
39,402,0.00,0.00,0,1801,1000,57,60,56,33,13882,0
39,403,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
39,404,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
39,405,0.00,0.00,0,1801,1000,57,60,56,27,13882,63
40,406,0.00,0.00,0,1801,1000,57,60,56,28,13882,2
40,407,0.00,0.00,0,1801,1000,57,60,56,27,13882,53
40,408,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
40,409,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
40,410,0.00,0.00,0,1801,1000,57,60,56,29,13882,1
40,411,0.00,0.00,0,1801,1000,56,60,56,57,13882,17
40,412,0.00,0.00,0,1801,1000,56,60,56,28,13882,0
40,413,0.00,0.00,0,1801,1000,56,60,56,27,13882,51
40,414,0.00,0.00,0,1801,1000,56,61,56,28,13882,0
40,415,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
40,416,0.00,0.00,0,1801,1000,56,60,56,28,13882,0
40,417,0.00,0.00,0,1801,1000,56,60,56,38,13882,0
41,418,0.00,0.00,0,1801,1000,56,61,56,28,13882,0
41,419,0.00,0.00,0,1801,1000,57,60,56,39,13882,43
41,420,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
41,421,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
41,422,0.00,0.00,0,1801,1000,57,60,56,27,13882,61
41,423,0.00,0.00,0,1801,1000,57,60,56,27,13882,19
41,424,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
41,425,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
41,426,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
41,427,0.00,0.00,0,1801,1000,57,60,56,28,13882,0
41,428,0.00,0.00,0,1801,1000,57,61,56,28,13882,0
41,429,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
42,430,0.00,0.00,0,1801,1000,57,61,56,28,13882,59
42,431,0.00,0.00,0,1801,1000,57,60,56,28,13882,0
42,432,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
42,433,0.00,0.00,0,1801,1000,56,62,56,27,13882,0
42,434,0.00,0.00,0,1801,1000,57,62,56,27,13882,0
42,435,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
42,436,0.00,0.00,0,1801,1000,57,60,56,28,13882,0
42,437,0.00,0.00,0,1801,1000,57,60,56,28,13882,0
42,438,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
42,439,0.00,0.00,0,1801,1000,57,60,56,28,13882,0
42,440,0.00,0.00,0,1801,1000,57,62,56,28,13882,0
43,441,0.00,0.00,0,1801,1000,56,61,56,28,13882,0
43,442,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
43,443,0.00,0.00,0,1801,1000,57,61,56,53,13882,0
43,444,0.00,0.00,0,1801,1000,57,60,56,27,13882,97
43,445,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
44,446,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
44,447,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
44,448,0.00,0.00,0,1801,1000,56,61,56,27,13882,0
44,449,0.00,0.00,0,1801,1000,57,60,56,46,13882,0
44,450,0.00,0.00,0,1801,1000,56,60,56,75,13882,0
44,451,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
44,452,0.00,0.00,0,1801,1000,56,60,56,28,13882,42
44,453,0.00,0.00,0,1801,1000,57,60,56,31,13882,0
44,454,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
45,455,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
45,456,0.00,0.00,0,1801,1000,56,60,56,35,13882,0
45,457,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
45,458,0.00,0.00,0,1801,1000,57,61,56,27,13882,0
45,459,0.00,0.00,0,1801,1000,57,60,56,27,13882,47
45,460,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
45,461,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
45,462,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
45,463,0.00,0.00,0,1801,1000,57,60,56,28,13882,0
45,464,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
46,465,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
46,466,0.00,0.00,0,1801,1000,57,64,56,58,13882,8
46,467,0.00,0.00,0,1801,1000,57,60,56,27,13882,0
46,468,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
46,469,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
46,470,0.00,0.00,0,1801,1000,56,60,56,27,13882,0
46,471,0.00,0.00,0,1801,1000,57,60,56,27,14683,0
46,472,0.00,0.00,0,1801,1000,57,60,56,27,14683,0
46,473,0.00,0.00,0,1801,1000,56,60,56,27,14683,0
